CustomerID,Cluster,MerchantName,TransactionRank,TransactionRedeemedPoints,TransactionValue,TransactionFrom(days),CustomerLastTransactionFrom(days),Category
28,1,Marketplace Central,1,2180,218.0,8.333333333333332,270,Grocery
29,1,Marketplace Central,1,2100,210.0,7.6923076923076925,299,Grocery
30,1,Nuts & Seeds Co.,1,1100,110.0,9.090909090909092,27,F&B
30,1,Nuts & Seeds Co.,2,510,51.0,50.0,27,F&B
31,1,Smokehouse Grill,1,1680,168.0,5.555555555555555,399,F&B
32,1,Marketplace Central,1,2460,246.0,16.666666666666664,138,Grocery
33,1,Peppers Diner,1,2100,210.0,8.333333333333332,262,F&B
34,1,Grill Emperor,1,1760,176.0,5.263157894736842,421,F&B
35,1,Marketplace Central,1,3300,330.0,25.0,88,Grocery
36,1,Marketplace Central,1,4540,454.0,25.0,34,Grocery
36,1,Marketplace Central,2,10660,1066.0,33.33333333333333,34,Grocery
36,1,Marketplace Central,3,1860,186.0,50.0,34,Grocery
37,3,Threads Royale,1,1500,150.0,100.0,20,Fashion
38,1,Quick Stop,1,1420,142.0,7.142857142857142,326,Grocery
39,1,Family Grocers,1,1967,196.7,10.0,225,Grocery
40,1,Cakeland,1,2300,230.0,33.33333333333333,68,F&B
41,1,Marketplace Central,1,4000,400.0,8.333333333333332,263,Grocery
42,1,Nuts & Seeds Co.,1,2040,204.0,9.090909090909092,238,F&B
43,1,Marketplace Central,1,2780,278.0,50.0,47,Grocery
44,1,Quick Stop,1,3400,340.0,20.0,112,Grocery
45,4,Smokehouse Grill,1,1620,162.0,100.0,10,F&B
46,1,Marketplace Central,1,1840,184.0,12.5,173,Grocery
47,1,Family Grocers,1,4687,468.7,8.333333333333332,259,Grocery
48,1,Marketplace Central,1,2000,200.0,100.0,17,Grocery
49,1,Threads Royale,1,3360,336.0,50.0,36,Fashion
50,1,Marketplace Central,1,3620,362.0,11.11111111111111,52,Grocery
50,1,Threads Royale,1,5440,544.0,33.33333333333333,52,Fashion
51,1,Marketplace Central,1,3800,380.0,16.666666666666664,133,Grocery
52,1,Marketplace Central,1,1940,194.0,14.285714285714285,150,Grocery
53,2,Herbal Wellness,1,3820,382.0,20.0,117,Health & Beauty
54,1,Marketplace Central,1,1900,190.0,25.0,79,Grocery
55,1,Marketplace Central,1,1180,118.0,11.11111111111111,187,Grocery
56,1,Marketplace Central,1,2180,218.0,100.0,8,Grocery
57,1,Marketplace Central,1,9860,986.0,12.5,178,Grocery
58,1,Family Grocers,1,1947,194.7,8.333333333333332,271,Grocery
59,1,Marketplace Central,1,3900,390.0,33.33333333333333,53,Grocery
60,1,Family Grocers,1,1600,160.0,7.142857142857142,311,Grocery
61,1,Family Grocers,1,2920,292.0,20.0,111,Grocery
62,1,Family Grocers,1,7669,766.9,8.333333333333332,266,Grocery
63,1,Aroma Beans,1,2500,250.0,7.6923076923076925,297,F&B
64,1,Zest Market,1,855,85.5,100.0,12,Grocery
65,1,Threads Royale,1,2660,266.0,12.5,173,Fashion
66,4,Grill Emperor,1,740,74.0,100.0,6,F&B
67,1,Grill Emperor,1,1500,150.0,7.6923076923076925,291,F&B
68,1,Zanobia Textiles,1,1540,154.0,50.0,27,F&B
69,1,Marketplace Central,1,5200,520.0,14.285714285714285,72,Grocery
69,1,Marketplace Central,2,1360,136.0,25.0,72,Grocery
70,1,Zest Market,1,2500,250.0,50.0,42,Grocery
71,1,Grill Emperor,1,2100,210.0,11.11111111111111,205,F&B
72,1,Marketplace Central,1,1944,194.4,25.0,88,Grocery
73,3,Threads Royale,1,1640,164.0,6.666666666666667,11,Fashion
73,3,Threads Royale,2,1260,126.0,100.0,11,Fashion
74,1,Zest Market,1,1460,146.0,6.25,359,Grocery
75,1,Family Grocers,1,940,94.0,7.6923076923076925,292,Grocery
76,1,Marketplace Central,1,740,74.0,25.0,71,Grocery
77,1,Family Grocers,1,4399,439.9,9.090909090909092,237,Grocery
78,1,Family Grocers,1,2589,258.9,7.6923076923076925,287,Grocery
79,1,Marketplace Central,1,2600,260.0,6.666666666666667,328,Grocery
80,1,Nuts & Seeds Co.,1,4700,470.0,50.0,45,F&B
81,1,Marketplace Central,1,960,96.0,100.0,6,Grocery
82,1,Marketplace Central,1,1260,126.0,100.0,18,Grocery
83,1,Marketplace Central,1,5600,560.0,50.0,34,Grocery
84,1,Marketplace Central,1,12380,1238.0,100.0,3,Grocery
85,2,Herbal Wellness,1,1720,172.0,6.666666666666667,349,Health & Beauty
86,1,Zest Market,1,2679,267.9,25.0,80,Grocery
87,1,Family Grocers,1,329,32.9,8.333333333333332,243,Grocery
87,1,Family Grocers,2,710,71.0,9.090909090909092,243,Grocery
88,1,Marketplace Central,1,6950,695.0,9.090909090909092,13,Grocery
88,1,Marketplace Central,2,6400,640.0,100.0,13,Grocery
89,1,Threads Royale,1,4520,452.0,33.33333333333333,60,Fashion
90,1,Grill Emperor,1,1941,194.1,8.333333333333332,279,F&B
91,2,Herbal Wellness,1,1550,155.0,5.555555555555555,412,Health & Beauty
92,1,Marketplace Central,1,7480,748.0,100.0,24,Grocery
93,1,Marketplace Central,1,1960,196.0,7.6923076923076925,284,Grocery
94,1,Marketplace Central,1,3140,314.0,100.0,22,Grocery
95,1,Marketplace Central,1,1640,164.0,9.090909090909092,246,Grocery
96,1,Family Grocers,1,4420,442.0,9.090909090909092,6,Grocery
96,1,Marketplace Central,1,3570,357.0,100.0,6,Grocery
97,1,Threads Royale,1,1960,196.0,20.0,104,Fashion
98,1,Family Grocers,1,5582,558.2,20.0,111,Grocery
99,1,Marketplace Central,1,16860,1686.0,100.0,24,Grocery
100,1,Marketplace Central,1,1190,119.0,8.333333333333332,258,Grocery
101,1,Family Grocers,1,1756,175.6,12.5,168,Grocery
102,1,Marketplace Central,1,2320,232.0,12.5,174,Grocery
103,1,Cakeland,1,2640,264.0,50.0,41,F&B
104,1,Marketplace Central,1,15620,1562.0,100.0,20,Grocery
105,1,Cakeland,1,2400,240.0,50.0,30,F&B
106,1,Zest Market,1,4299,429.9,8.333333333333332,50,Grocery
106,1,Zest Market,2,3980,398.0,33.33333333333333,50,Grocery
107,1,Grill Emperor,1,1720,172.0,8.333333333333332,265,F&B
108,1,Marketplace Central,1,260,26.0,7.142857142857142,27,Grocery
108,1,Marketplace Central,2,220,22.0,9.090909090909092,27,Grocery
108,1,Marketplace Central,3,220,22.0,11.11111111111111,27,Grocery
108,1,Marketplace Central,4,800,80.0,33.33333333333333,27,Grocery
108,1,Marketplace Central,5,300,30.0,50.0,27,Grocery
108,1,Threads Royale,1,1700,170.0,6.666666666666667,27,Fashion
109,1,Marketplace Central,1,15700,1570.0,9.090909090909092,250,Grocery
110,1,Marketplace Central,1,2105,210.5,33.33333333333333,70,Grocery
111,1,Family Grocers,1,1530,153.0,8.333333333333332,269,Grocery
112,1,Marketplace Central,1,2390,239.0,100.0,6,Grocery
113,1,Family Grocers,1,1500,150.0,7.142857142857142,63,Grocery
113,1,Marketplace Central,1,1040,104.0,33.33333333333333,63,Grocery
114,1,Marketplace Central,1,38620,3862.0,8.333333333333332,266,Grocery
115,1,Marketplace Central,1,3760,376.0,10.0,229,Grocery
116,1,Marketplace Central,1,3320,332.0,33.33333333333333,70,Grocery
117,1,Family Grocers,1,1717,171.7,8.333333333333332,276,Grocery
118,1,Marketplace Central,1,5520,552.0,50.0,36,Grocery
119,1,Zest Market,1,2016,201.6,7.142857142857142,308,Grocery
120,1,Threads Royale,1,5000,500.0,9.090909090909092,248,Fashion
121,1,Nuts & Seeds Co.,1,1500,150.0,7.142857142857142,304,F&B
122,1,Marketplace Central,1,21180,2118.0,16.666666666666664,127,Grocery
123,1,Grill Emperor,1,1333,133.3,7.142857142857142,325,F&B
124,1,Threads Royale,1,1000,100.0,7.142857142857142,307,Fashion
125,1,Family Grocers,1,1758,175.8,9.090909090909092,234,Grocery
126,1,Family Grocers,1,7113,711.3,11.11111111111111,201,Grocery
127,1,Threads Royale,1,2980,298.0,9.090909090909092,34,Fashion
127,1,Threads Royale,2,4250,425.0,50.0,34,Fashion
128,1,Marketplace Central,1,1450,145.0,50.0,34,Grocery
129,1,Marketplace Central,1,2840,284.0,8.333333333333332,181,Grocery
129,1,Marketplace Central,2,940,94.0,12.5,181,Grocery
130,1,Marketplace Central,1,3300,330.0,33.33333333333333,69,Grocery
131,1,Marketplace Central,1,3360,336.0,33.33333333333333,62,Grocery
132,1,Nuts & Seeds Co.,1,3480,348.0,50.0,47,F&B
133,1,Marketplace Central,1,2200,220.0,20.0,101,Grocery
134,1,Family Grocers,1,1641,164.1,8.333333333333332,261,Grocery
135,1,Peppers Diner,1,660,66.0,4.3478260869565215,527,F&B
136,1,Marketplace Central,1,2670,267.0,50.0,34,Grocery
137,1,Marketplace Central,1,21500,2150.0,11.11111111111111,203,Grocery
138,1,Family Grocers,1,3776,377.6,25.0,91,Grocery
139,1,Zest Market,1,16060,1606.0,9.090909090909092,248,Grocery
140,1,Zest Market,1,1380,138.0,9.090909090909092,237,Grocery
141,1,Grill Emperor,1,596,59.6,5.263157894736842,426,F&B
142,1,Threads Royale,1,920,92.0,8.333333333333332,50,Fashion
142,1,Threads Royale,2,360,36.0,33.33333333333333,50,Fashion
143,1,Threads Royale,1,3260,326.0,25.0,74,Fashion
144,1,Family Grocers,1,1960,196.0,10.0,233,Grocery
145,1,Marketplace Central,1,2340,234.0,11.11111111111111,25,Grocery
145,1,Marketplace Central,2,720,72.0,50.0,25,Grocery
146,1,Family Grocers,1,6384,638.4,7.6923076923076925,79,Grocery
146,1,Family Grocers,2,6380,638.0,25.0,79,Grocery
147,1,City Squad Fashions,1,1040,104.0,16.666666666666664,131,Fashion
148,3,Threads Royale,1,4910,491.0,100.0,20,Fashion
149,1,Peppers Diner,1,2440,244.0,6.666666666666667,346,F&B
150,1,Marketplace Central,1,1120,112.0,7.6923076923076925,285,Grocery
151,1,Marketplace Central,1,7860,786.0,10.0,228,Grocery
152,1,Marketplace Central,1,1940,194.0,11.11111111111111,197,Grocery
153,1,Marketplace Central,1,11060,1106.0,100.0,11,Grocery
154,1,Threads Royale,1,1580,158.0,7.142857142857142,319,Fashion
155,1,Family Grocers,1,1320,132.0,7.6923076923076925,300,Grocery
156,1,Family Grocers,1,1700,170.0,8.333333333333332,279,Grocery
157,1,Family Grocers,1,1985,198.5,25.0,73,Grocery
158,1,Marketplace Central,1,1850,185.0,25.0,77,Grocery
159,1,Marketplace Central,1,3500,350.0,9.090909090909092,60,Grocery
159,1,Marketplace Central,2,1340,134.0,33.33333333333333,60,Grocery
160,1,Marketplace Central,1,26120,2612.0,12.5,181,Grocery
161,1,Zest Market,1,695,69.5,5.555555555555555,110,Grocery
161,1,Zest Market,2,640,64.0,20.0,110,Grocery
162,1,Family Grocers,1,5400,540.0,9.090909090909092,251,Grocery
163,2,Herbal Wellness,1,2180,218.0,9.090909090909092,237,Health & Beauty
164,1,Marketplace Central,1,6960,696.0,100.0,19,Grocery
165,1,Marketplace Central,1,3240,324.0,10.0,228,Grocery
166,1,Zest Market,1,1300,130.0,50.0,36,Grocery
167,1,Marketplace Central,1,3270,327.0,9.090909090909092,251,Grocery
168,1,Marketplace Central,1,8850,885.0,50.0,27,Grocery
169,1,Marketplace Central,1,8540,854.0,10.0,60,Grocery
169,1,Marketplace Central,2,1392,139.2,33.33333333333333,60,Grocery
170,1,Marketplace Central,1,2550,255.0,50.0,34,Grocery
171,1,Cakeland,1,200,20.0,11.11111111111111,210,F&B
172,1,Family Grocers,1,2126,212.6,7.6923076923076925,292,Grocery
173,1,Marketplace Central,1,1960,196.0,10.0,222,Grocery
174,1,Marketplace Central,1,3380,338.0,9.090909090909092,249,Grocery
175,1,Grill Emperor,1,1201,120.1,5.0,444,F&B
176,1,Family Grocers,1,833,83.3,7.6923076923076925,296,Grocery
177,1,Marketplace Central,1,5280,528.0,7.142857142857142,320,Grocery
178,1,Marketplace Central,1,4040,404.0,25.0,88,Grocery
179,1,Grill Emperor,1,2200,220.0,5.88235294117647,249,F&B
179,1,Marketplace Central,1,620,62.0,9.090909090909092,249,Grocery
180,1,Marketplace Central,1,1460,146.0,12.5,179,Grocery
181,1,Marketplace Central,1,2400,240.0,25.0,71,Grocery
182,1,Marketplace Central,1,760,76.0,8.333333333333332,266,Grocery
183,3,Threads Royale,1,1800,180.0,100.0,20,Fashion
184,1,Marketplace Central,1,5060,506.0,33.33333333333333,49,Grocery
185,1,Smokehouse Grill,1,2260,226.0,5.555555555555555,410,F&B
186,1,Marketplace Central,1,1388,138.8,33.33333333333333,69,Grocery
187,4,Cakeland,1,1140,114.0,100.0,20,F&B
188,1,Marketplace Central,1,3440,344.0,11.11111111111111,34,Grocery
188,1,Marketplace Central,2,3760,376.0,50.0,34,Grocery
189,1,Marketplace Central,1,3200,320.0,10.0,211,Grocery
190,1,Nuts & Seeds Co.,1,3340,334.0,33.33333333333333,53,F&B
191,1,Grill Emperor,1,2290,229.0,6.25,360,F&B
192,1,Marketplace Central,1,2280,228.0,25.0,91,Grocery
193,1,Marketplace Central,1,2660,266.0,50.0,41,Grocery
194,1,Marketplace Central,1,1740,174.0,10.0,213,Grocery
195,1,Marketplace Central,1,870,87.0,50.0,41,Grocery
196,1,Family Grocers,1,925,92.5,7.142857142857142,307,Grocery
197,1,Marketplace Central,1,1050,105.0,8.333333333333332,260,Grocery
198,1,Aroma Beans,1,960,96.0,9.090909090909092,255,F&B
199,1,Marketplace Central,1,1580,158.0,7.142857142857142,315,Grocery
200,1,Marketplace Central,1,1100,110.0,11.11111111111111,201,Grocery
201,1,Marketplace Central,1,3440,344.0,25.0,81,Grocery
202,1,Marketplace Central,1,6770,677.0,100.0,6,Grocery
203,1,Marketplace Central,1,13520,1352.0,7.142857142857142,33,Grocery
203,1,Marketplace Central,2,2020,202.0,9.090909090909092,33,Grocery
203,1,Marketplace Central,3,3020,302.0,16.666666666666664,33,Grocery
203,1,Marketplace Central,4,4040,404.0,50.0,33,Grocery
203,1,Zest Market,1,3367,336.7,8.333333333333332,33,Grocery
204,1,Marketplace Central,1,12760,1276.0,33.33333333333333,55,Grocery
205,3,Threads Royale,1,600,60.0,100.0,20,Fashion
206,5,Marketplace Central,1,2000,200.0,50.0,37,Grocery
206,5,Global Media Hub,1,1680,168.0,5.555555555555555,37,Electronics
207,1,Cakeland,1,1991,199.1,9.090909090909092,238,F&B
208,1,Marketplace Central,1,2120,212.0,50.0,40,Grocery
209,1,Marketplace Central,1,1090,109.0,8.333333333333332,260,Grocery
210,1,Marketplace Central,1,1840,184.0,16.666666666666664,131,Grocery
211,4,Smokehouse Grill,1,6950,695.0,100.0,13,F&B
212,1,Family Grocers,1,28830,2883.0,8.333333333333332,260,Grocery
213,5,City Squad Fashions,1,14980,1498.0,50.0,41,Fashion
213,5,City Squad Fashions,2,9430,943.0,50.0,41,Fashion
214,1,Threads Royale,1,1840,184.0,7.142857142857142,315,Fashion
215,1,Marketplace Central,1,6000,600.0,50.0,42,Grocery
216,1,Family Grocers,1,2399,239.9,14.285714285714285,153,Grocery
217,1,Threads Royale,1,1980,198.0,7.6923076923076925,282,Fashion
218,1,Marketplace Central,1,2560,256.0,20.0,102,Grocery
219,1,Marketplace Central,1,11734,1173.4,33.33333333333333,68,Grocery
220,1,Peppers Diner,1,1472,147.2,5.88235294117647,389,F&B
221,1,Grill Emperor,1,2360,236.0,12.5,164,F&B
221,1,Grill Emperor,2,3440,344.0,12.5,164,F&B
222,1,Threads Royale,1,1900,190.0,25.0,76,Fashion
223,1,Family Grocers,1,530,53.0,9.090909090909092,256,Grocery
224,1,Marketplace Central,1,2100,210.0,50.0,33,Grocery
225,1,Family Grocers,1,1920,192.0,10.0,224,Grocery
226,3,Threads Royale,1,1020,102.0,100.0,21,Fashion
227,1,Grill Emperor,1,1240,124.0,5.0,301,F&B
227,1,Grill Emperor,2,670,67.0,7.6923076923076925,301,F&B
228,1,Threads Royale,1,2960,296.0,14.285714285714285,161,Fashion
229,1,Nuts & Seeds Co.,1,1410,141.0,9.090909090909092,255,F&B
230,1,Threads Royale,1,2140,214.0,50.0,33,Fashion
231,1,Marketplace Central,1,4120,412.0,50.0,27,Grocery
232,1,Family Grocers,1,3640,364.0,9.090909090909092,250,Grocery
233,1,Family Grocers,1,2228,222.8,16.666666666666664,136,Grocery
234,1,Marketplace Central,1,8760,876.0,14.285714285714285,141,Grocery
235,1,Marketplace Central,1,3880,388.0,33.33333333333333,54,Grocery
235,1,Marketplace Central,2,6900,690.0,33.33333333333333,54,Grocery
236,1,Marketplace Central,1,740,74.0,16.666666666666664,118,Grocery
237,1,Marketplace Central,1,1680,168.0,25.0,93,Grocery
238,1,Marketplace Central,1,2130,213.0,8.333333333333332,259,Grocery
239,1,Marketplace Central,1,1660,166.0,16.666666666666664,129,Grocery
240,1,Marketplace Central,1,2125,212.5,50.0,27,Grocery
241,1,Marketplace Central,1,1217,121.7,8.333333333333332,261,Grocery
242,1,Marketplace Central,1,2800,280.0,50.0,34,Grocery
243,4,Cakeland,1,5900,590.0,100.0,22,F&B
244,1,Family Grocers,1,1600,160.0,33.33333333333333,51,Grocery
245,1,Marketplace Central,1,2000,200.0,50.0,40,Grocery
246,1,Marketplace Central,1,2880,288.0,8.333333333333332,266,Grocery
247,1,Family Grocers,1,2078,207.8,9.090909090909092,244,Grocery
248,1,Aroma Beans,1,1660,166.0,5.0,388,F&B
248,1,Aroma Beans,2,1040,104.0,5.88235294117647,388,F&B
249,1,Grill Emperor,1,1980,198.0,16.666666666666664,140,F&B
250,1,Family Grocers,1,1392,139.2,25.0,77,Grocery
251,1,Marketplace Central,1,1976,197.6,10.0,222,Grocery
252,1,Marketplace Central,1,4920,492.0,20.0,102,Grocery
253,4,Grill Emperor,1,1300,130.0,100.0,13,F&B
254,1,Marketplace Central,1,650,65.0,9.090909090909092,250,Grocery
254,1,Marketplace Central,2,3230,323.0,9.090909090909092,250,Grocery
255,1,Marketplace Central,1,1060,106.0,9.090909090909092,246,Grocery
256,1,Zest Market,1,1840,184.0,16.666666666666664,125,Grocery
257,1,Marketplace Central,1,1920,192.0,16.666666666666664,121,Grocery
258,1,Marketplace Central,1,600,60.0,33.33333333333333,36,Grocery
258,1,Marketplace Central,2,140,14.0,50.0,36,Grocery
258,1,Threads Royale,1,2720,272.0,12.5,36,Fashion
259,1,Grill Emperor,1,2830,283.0,50.0,34,F&B
260,1,Marketplace Central,1,5780,578.0,33.33333333333333,49,Grocery
261,1,Nuts & Seeds Co.,1,1900,190.0,50.0,27,F&B
262,1,Marketplace Central,1,4180,418.0,16.666666666666664,135,Grocery
263,1,Threads Royale,1,3940,394.0,33.33333333333333,50,Fashion
264,1,Threads Royale,1,1960,196.0,25.0,71,Fashion
265,1,Marketplace Central,1,1130,113.0,100.0,13,Grocery
266,1,Zest Market,1,1094,109.4,11.11111111111111,200,Grocery
267,1,Marketplace Central,1,2380,238.0,33.33333333333333,70,Grocery
268,5,Marketplace Central,1,4330,433.0,8.333333333333332,41,Grocery
268,5,Marketplace Central,2,4550,455.0,50.0,41,Grocery
268,5,Threads Royale,1,19960,1996.0,7.142857142857142,41,Fashion
269,1,Zest Market,1,1144,114.4,8.333333333333332,271,Grocery
270,5,Gizmo Genius,1,2640,264.0,20.0,112,Electronics
271,5,Threads Royale,1,17180,1718.0,8.333333333333332,118,Fashion
271,5,City Squad Fashions,1,26460,2646.0,16.666666666666664,118,Fashion
272,1,Cakeland,1,1700,170.0,9.090909090909092,244,F&B
273,1,Zest Market,1,560,56.0,5.88235294117647,384,Grocery
274,1,Family Grocers,1,1542,154.2,14.285714285714285,156,Grocery
275,1,Marketplace Central,1,1700,170.0,9.090909090909092,32,Grocery
275,1,Marketplace Central,2,900,90.0,50.0,32,Grocery
276,1,Aroma Beans,1,1300,130.0,5.263157894736842,305,F&B
276,1,Aroma Beans,2,360,36.0,7.142857142857142,305,F&B
277,1,Family Grocers,1,1840,184.0,7.6923076923076925,285,Grocery
278,1,Family Grocers,1,2290,229.0,11.11111111111111,188,Grocery
279,1,Grill Emperor,1,2947,294.7,10.0,220,F&B
280,1,Zest Market,1,2040,204.0,20.0,114,Grocery
281,1,Grill Emperor,1,3000,300.0,50.0,47,F&B
282,5,Herbal Wellness,1,2120,212.0,100.0,20,Health & Beauty
283,1,Zest Market,1,1880,188.0,33.33333333333333,66,Grocery
284,1,Peppers Diner,1,960,96.0,5.88235294117647,373,F&B
285,1,Marketplace Central,1,1720,172.0,20.0,111,Grocery
286,1,Family Grocers,1,4940,494.0,9.090909090909092,245,Grocery
287,1,Zest Market,1,1885,188.5,50.0,26,Grocery
288,1,Marketplace Central,1,3140,314.0,7.6923076923076925,39,Grocery
288,1,Marketplace Central,2,1100,110.0,9.090909090909092,39,Grocery
288,1,Marketplace Central,3,2160,216.0,11.11111111111111,39,Grocery
288,1,Marketplace Central,4,3860,386.0,50.0,39,Grocery
288,1,Threads Royale,1,2380,238.0,16.666666666666664,39,Fashion
288,1,Threads Royale,2,1480,148.0,16.666666666666664,39,Fashion
289,1,Family Grocers,1,2100,210.0,8.333333333333332,264,Grocery
290,1,Grill Emperor,1,600,60.0,11.11111111111111,210,F&B
291,1,Marketplace Central,1,900,90.0,20.0,102,Grocery
292,1,Marketplace Central,1,2580,258.0,8.333333333333332,264,Grocery
293,1,Marketplace Central,1,550,55.0,100.0,20,Grocery
294,1,Grill Emperor,1,2440,244.0,50.0,41,F&B
295,5,Threads Royale,1,9800,980.0,7.142857142857142,34,Fashion
295,5,Threads Royale,2,3280,328.0,12.5,34,Fashion
295,5,City Squad Fashions,1,3480,348.0,50.0,34,Fashion
296,2,Herbal Wellness,1,980,98.0,10.0,231,Health & Beauty
297,1,Grill Emperor,1,2040,204.0,8.333333333333332,273,F&B
298,1,Zest Market,1,2443,244.3,8.333333333333332,41,Grocery
298,1,Zest Market,2,1070,107.0,50.0,41,Grocery
299,1,Marketplace Central,1,1460,146.0,100.0,6,Grocery
300,5,Herbal Wellness,1,1400,140.0,8.333333333333332,12,Health & Beauty
300,5,Herbal Wellness,2,1100,110.0,100.0,12,Health & Beauty
301,1,Marketplace Central,1,1822,182.2,14.285714285714285,153,Grocery
302,1,Marketplace Central,1,1560,156.0,11.11111111111111,210,Grocery
303,1,Family Grocers,1,5000,500.0,7.142857142857142,309,Grocery
304,1,Marketplace Central,1,1320,132.0,100.0,20,Grocery
305,1,Threads Royale,1,1401,140.1,7.6923076923076925,286,Fashion
306,1,Threads Royale,1,3900,390.0,50.0,46,Fashion
307,1,Family Grocers,1,2745,274.5,12.5,164,Grocery
308,1,Grill Emperor,1,5000,500.0,16.666666666666664,134,F&B
309,1,Marketplace Central,1,1080,108.0,50.0,27,Grocery
310,1,Family Grocers,1,1040,104.0,7.6923076923076925,297,Grocery
311,1,Family Grocers,1,1537,153.7,33.33333333333333,57,Grocery
312,2,Herbal Wellness,1,4100,410.0,25.0,79,Health & Beauty
313,5,Herbal Wellness,1,1320,132.0,100.0,9,Health & Beauty
314,1,Zest Market,1,3050,305.0,7.142857142857142,5,Grocery
314,1,Zest Market,2,3760,376.0,100.0,5,Grocery
315,1,Marketplace Central,1,1210,121.0,9.090909090909092,253,Grocery
316,1,Marketplace Central,1,2020,202.0,16.666666666666664,136,Grocery
317,1,Cakeland,1,1260,126.0,11.11111111111111,204,F&B
318,1,Marketplace Central,1,3840,384.0,11.11111111111111,190,Grocery
319,1,Threads Royale,1,1740,174.0,9.090909090909092,246,Fashion
320,1,City Squad Fashions,1,2000,200.0,50.0,27,Fashion
321,1,Zest Market,1,3166,316.6,25.0,78,Grocery
322,1,Marketplace Central,1,1200,120.0,50.0,35,Grocery
323,1,Marketplace Central,1,2430,243.0,50.0,27,Grocery
324,1,Zest Market,1,1368,136.8,5.88235294117647,374,Grocery
325,1,Zest Market,1,2948,294.8,6.666666666666667,327,Grocery
326,1,Marketplace Central,1,1500,150.0,20.0,96,Grocery
327,1,Family Grocers,1,1225,122.5,8.333333333333332,260,Grocery
328,1,Family Grocers,1,1683,168.3,8.333333333333332,265,Grocery
329,1,Grill Emperor,1,765,76.5,8.333333333333332,259,F&B
330,1,Marketplace Central,1,12460,1246.0,33.33333333333333,66,Grocery
331,1,Family Grocers,1,1700,170.0,9.090909090909092,236,Grocery
332,1,Marketplace Central,1,2384,238.4,10.0,217,Grocery
333,1,Marketplace Central,1,1640,164.0,50.0,32,Grocery
334,1,Marketplace Central,1,1550,155.0,8.333333333333332,269,Grocery
335,1,Grill Emperor,1,1860,186.0,14.285714285714285,152,F&B
336,1,Nuts & Seeds Co.,1,1440,144.0,6.666666666666667,333,F&B
337,4,Nuts & Seeds Co.,1,6500,650.0,100.0,6,F&B
338,1,Marketplace Central,1,2520,252.0,6.666666666666667,231,Grocery
338,1,Marketplace Central,2,460,46.0,10.0,231,Grocery
339,1,Threads Royale,1,5940,594.0,50.0,39,Fashion
